chembl_id,smiles,ic50_nm,pic50
CHEMBL2163612,Cc1c(N[C@H]2CCCNC2)nc2ccnn2c1Nc1ccc(OCCN2CCOCC2)cc1,31080.0,4.507518989871123
CHEMBL556712,O=C(C(=O)N1CCc2ccccc21)c1c[nH]c2ccccc12,441000.0,3.3555614105321614
CHEMBL601020,COc1cccc2c1C[C@@H]1c3c(cc4c(c3-2)OCO4)CCN1C,7070.0,5.150580586203101
CHEMBL1081104,N[C@H](CNc1cc(-c2ccc3cnccc3c2)no1)Cc1ccc(C(F)(F)F)cc1,40.0,7.3979400086720375
CHEMBL1823638,N#Cc1cc(C(NC(=O)c2ccc3cnccc3c2)C2CCNCC2)ccc1Cl,120.0,6.920818753952375
CHEMBL1957094,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)c(C)c1,3162.28,5.499999678657065
CHEMBL2011942,NC(=O)c1cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc2c1NCCCNC(=O)C1CCC1,243.5,6.613501034449347
CHEMBL2035182,COCCOc1ccc2cc1CN(C)C/C=C/COCc1ccc(s1)-c1ccnc(n1)N2,170.0,6.769551078621726
CHEMBL496482,Cc1ccc(-c2ccc(C(=O)NCCc3c[nH]c4ccccc34)cc2)cc1,417000.0,3.3798639450262424
CHEMBL1809117,N#Cc1cscc1-c1c[nH]c(=O)c2cc(-c3ccncc3)sc12,158.49,6.799998134593398
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,5.0,8.301029995663981
CHEMBL2163994,Cc1c(N[C@H]2CC[C@H](N)CC2)nc2ccnn2c1Nc1ccc(F)c(Cl)c1,5700.0,5.2441251443275085
CHEMBL2158845,NS(=O)(=O)c1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,37.0,7.431798275933005
CHEMBL2426383,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccc(C)cc2)cc1,1420.0,5.847711655616943
CHEMBL2426399,COc1ccc(NC(=S)NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)cc1,1502.0,5.823330067331851
